ROW_IDX,PAPER,DRUG,POLYMER_USED,DRUG_SMILES,POLYMER_PSMILES,WATER_PH,CONCENTRATION,CAPACITY,FORMAT_OK,FORMAT_REASON,SMILES_VALID_OK,SMILES_VALID_REASON,PSMILES_VALID_OK,PSMILES_VALID_REASON,CAPPING_OK,CAPPING_REASON,LOGP_OK,LOGP_REASON,FINGERPRINT_OK,FINGERPRINT_REASON,LOGD_OK,LOGD_REASON,NET_CHARGE_OK,NET_CHARGE_REASON,POLYMETRIX_PSMILES_OK,POLYMETRIX_PSMILES_REASON,POLYMETRIX_SMILES_OK,POLYMETRIX_SMILES_REASON,OVERALL_OK,FAILURE_STAGE,FAILURE_REASON
65,Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems,Doxycycline,chitosan,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O),*C(C(C(C(C(CO)O)O)O)O)*,3,100,82.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
66,Chitosan-Derived_Porous_Carbon_for_Efficient_Adsorptive_Removal_of_Amoxicillin_and_Doxycycline_Antibiotics_from_Aqueous_Systems,Doxycycline,chitosan,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O),*C(C(C(C(C(CO)O)O)O)O)*,11,100,55.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
67,Chitosan_impregnated_sugarcane_bagasse_biochar_for_removal_of_anionic_dyes_from_wastewater,Congo Red,chitosan,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(C(CO)O)O)O)O)*,3,150,98.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
68,Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,Ni,PEG,[Ni],*CCO*,1.2,0.7008,3.285,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
69,Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,Fe,PEG,[Fe],*CCO*,1.2,19.533,92.43,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
70,Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,Cu,PEG,[Cu],*CCO*,1.2,1.3909,6.949,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
71,Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,Pb,PEG,[Pb],*CCO*,1.2,2.3508,10.73,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
72,Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,Cd,PEG,[Cd],*CCO*,1.2,0.0408,0.169,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
73,Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants,Pb,GO_3@PVA,[Pb],*CC(O)*,6.5,50,368.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
74,Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants,Pb,GO_3@PVA,[Pb],*CC(O)*,6.5,100,447.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
75,Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants,Pb,GO_3@PVA,[Pb],*CC(O)*,6.5,150,508.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
76,Efficacious_biosorption_of_crystal_violet_pollutant_dye_from_aqueous_solutions_via_Padina_pavonica_derived_alginate,crystal violet,calcium alginate beads,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,*C(C(C(C(=O)[O-])O)O)*,6,10,5.884,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
77,Electrospun_nanofibers_of_cellulose_acetatemetal_organic_framework-third_generation_PAMAM_dendrimer_for_the_removal_of_methylene_blue_from_aqueous_media,methylene blue,cellulose acetate,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(CO)O)O)O)*,8.4,21,940.76,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
78,Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,Cd(II),Ca-alginate,[Cd+2],*C(C(C(C(=O)[O-])O)O)*,6,10,9.16,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
79,Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,Cd(II),Ca-alginate-HPMBP,[Cd+2],*C(C(C(C(=O)[O-])O)O)*,6,10,9.3,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
80,Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,Cd(II),Ca-alginate,[Cd+2],*C(C(C(C(=O)[O-])O)O)*,6,25,23.23,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
81,Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,Cd(II),Ca-alginate-HPMBP,[Cd+2],*C(C(C(C(=O)[O-])O)O)*,6,25,23.25,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
82,Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,Cd(II),Ca-alginate,[Cd+2],*C(C(C(C(=O)[O-])O)O)*,6,10,8.63,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
83,Enhanced_cadmium_II_adsorption_via_calcium_alginate_encapsulation_of_HPMBP_in_heavy_metal_remediation,Cd(II),Ca-alginate-HPMBP,[Cd+2],*C(C(C(C(=O)[O-])O)O)*,6,10,8.78,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
84,Experimental_and_DFT_studies_of_the_removal_of_pharmaceutical_metronidazole_from_water_using_polypyrrole,metronidazole,polypyrrole,CC1=NC=C(N1CCO)[N+](=O)[O-],*c1cc[nH]c1*,6.17,10,0.95,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
85,Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,Brilliant Green,poly(DVB),CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCc1ccc(CC*)cc1,7,2.5,1.59,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
86,Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,Brilliant Green,poly(DVB),CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCc1ccc(CC*)cc1,7,14.3,4.63,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
87,Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,Brilliant Green,poly(DVB),CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCc1ccc(CC*)cc1,7,7.5,8.44,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
88,Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,Brilliant Green,poly(DVB),CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCc1ccc(CC*)cc1,7,7.5,2.45,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
89,Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,Brilliant Green,poly(DVB),CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCc1ccc(CC*)cc1,7,7.5,0.94,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
90,Experimental_and_theoretical_investigations_of_divinylbenzene-based_polymer_as_an_efficient_adsorbent_for_brilliant_green_dye_removal,Brilliant Green,poly(DVB),CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,*CCc1ccc(CC*)cc1,7,7.5,3.13,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
91,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,1.0,100,355.48,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
92,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,380.56,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
93,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,3.0,100,371.26,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
94,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,4.0,100,343.15,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
95,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,5.0,100,281.43,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
96,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,6.0,100,233.34,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
97,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,7.0,100,121.45,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
98,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,8.0,100,87.12,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
99,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,9.0,100,66.23,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
100,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,10.0,100,30.2,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
101,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,25,156.51,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
102,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,50,377.56,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
103,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,60,411.15,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
104,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,80,465.32,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
105,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,495.24,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
106,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,120,483.36,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
107,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,150,402.37,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
108,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,180,282.21,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
109,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,200,135.38,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
110,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,507.74,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
111,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,531.52,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
112,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,548.19,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
113,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,534.51,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
114,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,507.84,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
115,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,456.65,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
116,Exploring_strategies_for_adsorption_of_azo_dye_Congo_Red_using_free_and_immobilized_biomasses_of_Trametes_pubescens,Congo Red,Trametes pubescens alginate-immobilized biomass,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S,*C(C(C(C(=O)[O-])O)O)*,2.0,100,348.82,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
117,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,20,47.7,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
118,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,20,35.9,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
119,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,20,42.5,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
120,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,20,26.5,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
121,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,20,25.3,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
122,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,30,15.4,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
123,Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue,methylene blue,PVA,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*CC(O)*,6.6-6.8,40,9.15,False,WATER_PH=range(6.6-6.8),False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,FORMAT,WATER_PH=range(6.6-6.8)
124,Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,Pb(II),CuO/PANI,[Pb+2],*C1=CC=C(N)C=C1*,2,25,90.86,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
125,Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,Pb(II),CuO/PANI,[Pb+2],*C1=CC=C(N)C=C1*,2,50,171.04,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
126,Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,Pb(II),CuO/PANI,[Pb+2],*C1=CC=C(N)C=C1*,2,75,143.62,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
127,Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,Pb(II),CuO/PANI,[Pb+2],*C1=CC=C(N)C=C1*,2,100,256.39,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
128,Green_synthesis_and_characterization_of_CuOPANI_nanocomposite_for_efficient_Pb_II_adsorption_from_contaminated_water,Pb(II),CuO/PANI,[Pb+2],*C1=CC=C(N)C=C1*,2,125,322.844,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
129,High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,methyl orange,PANI,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C1=CC=C(N)C=C1*,7,120,82.1,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
130,High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,methyl orange,Ti/PANI,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C1=CC=C(N)C=C1*,7,120,103.1,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
131,High_Removal_Efficiency_of_Methyl_Orange_Dye_by_Pure_and_Cu_N_Doped_TiO2Polyaniline_Nanocomposites,methyl orange,Ti(N)/PANI,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],*C1=CC=C(N)C=C1*,7,120,101.6,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
