POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER,KIMI_MATCHED
PET,Brilliant Green,*CCOC(=O)c1ccc(cc1)C(=O)*,CC[N+](CC)(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7,7.5,0.81,RSC Adv.,deepseek-v4-flash (pdf2text),Repurposing_waste_plastic_into_a_sustainable_adsorbent_for_removing_synthetic_dye_experimental_optimization_and_theoretical_modeling,False
poly(m-aminobenzoic acid),Pt(IV),*Nc1cc(C(=O)*)ccc1,[Pt],4,10,0.893,Öztürk et al. 2020 SN Applied Sciences,deepseek-v4-flash (pdf2text),Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,False
poly(m-aminobenzoic acid),Pt(IV),*Nc1cc(C(=O)*)ccc1,[Pt],4,15,1.157,Öztürk et al. 2020 SN Applied Sciences,deepseek-v4-flash (pdf2text),Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,False
poly(m-aminobenzoic acid),Pt(IV),*Nc1cc(C(=O)*)ccc1,[Pt],4,20,1.417,Öztürk et al. 2020 SN Applied Sciences,deepseek-v4-flash (pdf2text),Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,False
poly(m-aminobenzoic acid),Pt(IV),*Nc1cc(C(=O)*)ccc1,[Pt],4,30,1.928,Öztürk et al. 2020 SN Applied Sciences,deepseek-v4-flash (pdf2text),Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,False
poly(m-aminobenzoic acid),Pt(IV),*Nc1cc(C(=O)*)ccc1,[Pt],4,40,2.082,Öztürk et al. 2020 SN Applied Sciences,deepseek-v4-flash (pdf2text),Sorption_of_PtIV_ions_on_polym-aminobenzoic_acid_chelating_polymer_Equilibrium_kinetic_and_thermodynamic_studies,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,125.89,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,93.50,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,106.15,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,102.31,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,15,63.56,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,30,209.81,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
chitosan-glutaraldehyde,Direct Blue 71,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC=C2N=NC3=CC4=C(C=CC=C4S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-])N=NC5=C6C=CC(=CC6=C(C=C5)N=NC7=C(C=C8C=C(C=CC8=C7O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],4,50,343.59,Lopez-Cervantes et al. 2018,deepseek-v4-flash (pdf2text),Study_of_a_fixed-bed_column_in_the_adsorption_of_an_azo_dye_from_an_aqueous_medium_using_a_chitosanglutaraldehyde_biosorbent,False
MLDH-NH2@PANI,Cr(VI),*C1=CC=C(N)C=C1*,[Cr+6],3,50,205.2,Kinetic experiment (Qe,deepseek-v4-flash (pdf2text),Synthesis_characterization_and_adsorption_performance_of_novel_acidic_calixarene-modified_LDHpolyaniline_nanohybrid_for_efficient_CrVI_removal,False
PEG,Pb(II),*CCO*,[Pb+2],7,30,13.717,10.5829/ije.2025.38.02b.07,deepseek-v4-flash (pdf2text),Synthesis_of_Fe3O4SiO2PEG_Nanocomposite_from_Minerals_Sands_Kinetic_Adsorption_Heavy_Metal_Ion_from_Aqueous_Solution,False
PEG,Cu(II),*CCO*,[Cu+2],7,30,37.175,10.5829/ije.2025.38.02b.07,deepseek-v4-flash (pdf2text),Synthesis_of_Fe3O4SiO2PEG_Nanocomposite_from_Minerals_Sands_Kinetic_Adsorption_Heavy_Metal_Ion_from_Aqueous_Solution,False
PEG,Cu(II),*CCO*,[Cu+2],7,30,2.39,10.5829/ije.2025.38.02b.07,deepseek-v4-flash (pdf2text),Synthesis_of_Fe3O4SiO2PEG_Nanocomposite_from_Minerals_Sands_Kinetic_Adsorption_Heavy_Metal_Ion_from_Aqueous_Solution,False
PVA,tetracycline,*CC(O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,2,100,12.6,DOI:10.2478/eces-2021-0021,deepseek-v4-flash (pdf2text),Tetracycline_Removal_from_Water_by_Adsorption_on_Geomaterial_Activated_Carbon_and_Clay_Adsorbents,False
PVA,tetracycline,*CC(O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,8,100,7.8,DOI:10.2478/eces-2021-0021,deepseek-v4-flash (pdf2text),Tetracycline_Removal_from_Water_by_Adsorption_on_Geomaterial_Activated_Carbon_and_Clay_Adsorbents,False
PVA,tetracycline,*CC(O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,12,100,9.55,DOI:10.2478/eces-2021-0021,deepseek-v4-flash (pdf2text),Tetracycline_Removal_from_Water_by_Adsorption_on_Geomaterial_Activated_Carbon_and_Clay_Adsorbents,False
PVA,tetracycline,*CC(O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,3,100,8.55,DOI:10.2478/eces-2021-0021,deepseek-v4-flash (pdf2text),Tetracycline_Removal_from_Water_by_Adsorption_on_Geomaterial_Activated_Carbon_and_Clay_Adsorbents,False
PVA,tetracycline,*CC(O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,3,800,75.5,DOI:10.2478/eces-2021-0021,deepseek-v4-flash (pdf2text),Tetracycline_Removal_from_Water_by_Adsorption_on_Geomaterial_Activated_Carbon_and_Clay_Adsorbents,False
PPy–SD,Cr(VI),*c1cc[nH]c1*,[Cr+6],5.0,100,3.4,109,deepseek-v4-flash (pdf2text),The_removal_of_heavy_metal_ions_from_wastewateraqueous_solution_using_polypyrrole-based_adsorbents_a_review,False
PPy/SH-beta/MCM-41,Hg(II),*c1cc[nH]c1*,[Hg+2],8.0,400,157.43,49,deepseek-v4-flash (pdf2text),The_removal_of_heavy_metal_ions_from_wastewateraqueous_solution_using_polypyrrole-based_adsorbents_a_review,False
chitosan,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,20,14.02,Priyanga et al. 2026,deepseek-v4-flash (pdf2text),Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,False
chitosan,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,40,21.08,Priyanga et al. 2026,deepseek-v4-flash (pdf2text),Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,False
chitosan,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,60,17.48,Priyanga et al. 2026,deepseek-v4-flash (pdf2text),Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,False
