POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
Metal-alginate particles crosslinked with Fe3+,Doxycycline,NaN,0.1-2.5,90.00,Azizeh et al. (2024),,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Metal-alginate particles crosslinked with Fe3+,Amoxicillin,NaN,0.05-1,11.50,Azizeh et al. (2024),,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
Bacterial cellulose/chitosan -MIL-100(Fe),Dacarbazine,4.2,NaN,340.0,Barjasteh; Akrami; Dehnavi (2024),,
"""Chitosan",magnetite,"and Arthrospira platensis""",Tetracycline,8.0,10-200,,
"""Chitosan",magnetite,"and Arthrospira platensis""",Ciprofloxacin,6.0,NaN,,
"""Chitosan",magnetite,"and Arthrospira platensis""",Amoxicillin,6.0,NaN,,
"""Chitosan",magnetite,"and Chlorella vulgaris""",Tetracycline,8.0,NaN,,
"""Chitosan",magnetite,"and Chlorella vulgaris""",Ciprofloxacin,6.0,NaN,,
"""Chitosan",magnetite,"and Chlorella vulgaris""",Amoxicillin,6.0,NaN,,
Calcium phosphate-chitosan,Tetracycline,11.0,0-500,223.8,Said et al. (2024),,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Hybrid spheres of alginate/geopolymer,Fluorouracil,7.8,0.10-20,6.28,Ben Amor et al. (2023),,
Calcium alginate/chitosan hydrogel spheres,Norfloxacin,6.5,25-200,310.6,Tang et al. (2023),,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Polyethylenimine-grafted crosslinked chitosan spheres,Sodium diclofenac,5.0,50-200,253.3,Lu et al. (2020),,
Amino hydroxyapatite/chitosan hybrids crosslinked with glutaraldehyde,Sodium diclofenac,6.0,NaN,139.5,Pereira et al. (2020),,
NH2-PAA/Alginate,Pb(II),5.0,50,39.91,https://doi.org/10.21203/rs.3.rs-531371/v1,,[Pb+2]
NH2-PAA/Alginate,Mn(II),5.0,50,17.07,https://doi.org/10.21203/rs.3.rs-531371/v1,,
NH2-PAA/Alginate,Cu(II),5.0,50,15.82,https://doi.org/10.21203/rs.3.rs-531371/v1,,
NH2-PAA/Alginate,Ni(II),5.0,50,13.51,https://doi.org/10.21203/rs.3.rs-531371/v1,,
NH2-PAA/Alginate,Cd(II),5.0,50,12.02,https://doi.org/10.21203/rs.3.rs-531371/v1,,[Cd+2]
NH2-PAA/Alginate,Zn(II),5.0,50,9.78,https://doi.org/10.21203/rs.3.rs-531371/v1,,
Chitosan-Fe2O3,Acid Blue 113,3,10,16.61,This study,,
Chitosan-Fe2O3,Acid Blue 113,3,25,38.86,This study,,
Chitosan-Fe2O3,Acid Blue 113,3,50,71.21,This study,,
Chitosan-Fe2O3,Acid Blue 113,3,100,129.80,This study,,
Chitosan/40%NAC/2%APTES,Acetaminophen,NaN,NaN,407.83,47,,CC(=O)NC1=CC=C(C=C1)O
CQD-g-C3N4-PANI,Ciprofloxacin,NaN,NaN,87.6,111,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Chitosan-walnut shells composite (Ch-W),Levofloxacin,7,4,7.43,[27],,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Chitosan-walnut shells composite (Ch-W),Levofloxacin,7,2,3.77,[27],,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Chitosan,Acid Red 18,NaN,NaN,693.2,[83],,
Nanochitosan,Acid Red 18,NaN,NaN,243.92,[78],,
Chitosan-based semi-IPN hydrogel,Acid Red 18,NaN,NaN,358.42,[85],,
CNC/PEI/SA/PVA composite,Diclofenac sodium,NaN,NaN,418.4,Fan et al.,,
cellulosic sisal fiber/PPy/PANI,Ibuprofen,NaN,NaN,21.5,Khadir et al.,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
cellulose citrate,methylene blue,6.2,10,9.57,RSC Adv. 2021,,
cellulose citrate,methylene blue,NaN,30,18.99,RSC Adv. 2021,,
cellulose citrate,methylene blue,NaN,NaN,96.2,RSC Adv. 2021,,
cellulose-based aerogel,Congo Red,NaN,NaN,3429.23,NaN,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
magnetic nanocellulose-based adsorbents,malachite green,NaN,NaN,2282.3,NaN,,
TEMPO-oxidized cellulose beads,methylene blue,NaN,NaN,495,39,,
chitosan/PVA/cornstarch/NC film,methylene blue,NaN,NaN,63.13,50,,
NC/chitosan hydrogel beads,methylene blue,NaN,NaN,11.18,58,,
NC/chitosan hydrogel beads,crystal violet,NaN,NaN,34.82,58,,
NC/CMC/alginate hydrogel beads,methylene blue,NaN,NaN,109.03,60,,
PEI-MFC cryogel,methyl orange,NaN,NaN,500,44,,
PPY-coated NC,Congo Red,NaN,NaN,298.98,63,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
magnetic cellulose adsorbent,Congo Red,NaN,0.2,500,64,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
magnetic cellulose adsorbent,Congo Red,NaN,0.55,1250,64,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
AAm hydrogel,Janus Green B,NaN,NaN,0,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=10 mg),Janus Green B,NaN,0.002,1.35E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=20 mg),Janus Green B,NaN,0.002,1.88E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=30 mg),Janus Green B,NaN,0.002,2.09E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=40 mg),Janus Green B,NaN,0.002,2.76E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=50 mg),Janus Green B,NaN,0.002,2.93E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=60 mg),Janus Green B,NaN,0.002,3.47E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=70 mg),Janus Green B,NaN,0.002,3.72E-4,10.4236/jeas.2021.112003,,
AAm/SSS hydrogel (SSS=80 mg),Janus Green B,NaN,0.002,4.12E-4,10.4236/jeas.2021.112003,,
"""AAm/SSS/PEG semi-IPN (SSS=10 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,1.43E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=20 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,1.56E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=30 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,2.39E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=40 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,2.66E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=50 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,3.09E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=60 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,3.44E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=70 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,3.51E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=80 mg","PEG=0.5 g)""",Janus Green B,NaN,0.002,3.97E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=60 mg","PEG=0 g)""",Janus Green B,NaN,NaN,3.47E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=60 mg","PEG=0.25 g)""",Janus Green B,NaN,NaN,3.29E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=60 mg","PEG=0.50 g)""",Janus Green B,NaN,NaN,3.44E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=60 mg","PEG=0.75 g)""",Janus Green B,NaN,NaN,3.16E-4,,
"""AAm/SSS/PEG semi-IPN (SSS=60 mg","PEG=1.00 g)""",Janus Green B,NaN,NaN,3.43E-4,,
β-CD/Ch/PVA,Congo Red,3,NaN,1250,42,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan hydrogel capsules,Congo Red,4,NaN,784.5,44,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
CS/CMC-PEG,Congo Red,4,NaN,666.67,45,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Magnetic chitosan hydrogel beads,Methylene Blue,7,NaN,588.24,46,,
CS/CMC-PEG,Methylene Blue,7,NaN,769.23,45,,
Millettia speciosa Champ cellulose-CS magnetic hydrogel,Cu II,7,NaN,65.19,58,,
CSL1 (chitosan/lignin hydrogel),Pb II,NaN,NaN,98.71,62,,
CSL1 (chitosan/lignin hydrogel),Cu II,NaN,NaN,139.86,62,,
chitosan,Amoxicillin,3,100,52,https://doi.org/10.1007/s11270-025-08223-4,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
chitosan,Amoxicillin,7,100,59,https://doi.org/10.1007/s11270-025-08223-4,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
chitosan,Amoxicillin,13,100,48,https://doi.org/10.1007/s11270-025-08223-4,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
chitosan,Doxycycline,3,100,82,https://doi.org/10.1007/s11270-025-08223-4,,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan,Doxycycline,11,100,55,https://doi.org/10.1007/s11270-025-08223-4,,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan,Congo Red,3,150,98,10.1038/s41598-024-77708-9,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
chitosan,Congo Red,NaN,NaN,170.06,10.1038/s41598-024-77708-9,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
chitosan (5 g/L),Cu(II),NaN,NaN,60,[100],,
chitosan (5 g/L),Cd(II),NaN,NaN,60,[100],,[Cd+2]
chitosan (5 g/L),Pb(II),NaN,NaN,60,[100],,[Pb+2]
Epichlorohydrin cross-linked chitosan/polyaniline beads,Tartrazine,6,NaN,435.0,[147],,
CS/MMT/PANI NC,Methylene Blue,NaN,NaN,111,[150],,
Chitosan/magadiite hydrogel beads,Methylene Blue,NaN,NaN,45.25,[153],,
Chitosan/magadiite hydrogel beads,Congo Red,NaN,NaN,135.77,[153],,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginates,methyl orange,NaN,NaN,0.02,[83],,
Alginates,methylene blue,NaN,NaN,0.7,[83],,
Na-alginate,methylene blue,NaN,NaN,572,[84],,
Alginate-beads,acridine orange,NaN,NaN,2.6,[85],,
PEG,Ni,1.2,0.7008,3.285,Table 7,,
PEG,Fe,1.2,19.533,92.43,Table 7,,
PEG,Cu,1.2,1.3909,6.949,Table 7,,
PEG,Pb,1.2,2.3508,10.73,Table 7,,
PEG,Cd,1.2,0.0408,0.169,Table 7,,
chitosan,Cu(II),6.5,NaN,4.56,Molecules 2020,,
PAN/chitosan/UiO-66-NH2,Cd(II),6,NaN,415.6,[229],,[Cd+2]
Nano polyaniline hazelnut,Brilliant Blue FCF,NaN,NaN,0.79,[77],,
Jhingan hydrogel,Brilliant Blue FCF,NaN,NaN,85.5,[79],,
Modified Chitosan,Brilliant Blue FCF,NaN,NaN,300,[80],,
GO_3@PVA,Pb,6.5,50,368,10.1039/d4ra02111h,,
GO_3@PVA,Pb,6.5,100,447,10.1039/d4ra02111h,,
GO_3@PVA,Pb,6.5,150,508,10.1039/d4ra02111h,,
Melanin-agarose hydrogel,Cu,NaN,1,31.24,10.31254/phyto.2026.15202,,
Melanin-agarose hydrogel,Ni,NaN,1,17.65,10.31254/phyto.2026.15202,,
Agarose-only hydrogel,Cu,NaN,1,5.66,10.31254/phyto.2026.15202,,
Agarose-only hydrogel,Ni,NaN,1,7.59,10.31254/phyto.2026.15202,,
polyacrylonitrile,Pb(II),6.5,NaN,36.0,Scientific Reports (2025) 15:22250,,[Pb+2]
polyacrylonitrile,Cd(II),6.5,NaN,36.0,Scientific Reports (2025) 15:22250,,[Cd+2]
polyacrylonitrile,sulfamethoxazole,6.5,NaN,30.0,Scientific Reports (2025) 15:22250,,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
polyacrylonitrile,ibuprofen,6.5,NaN,28.0,Scientific Reports (2025) 15:22250,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Cellulose acetate/CS membrane,Cu(II),5,NaN,0.8,[134],,
Chitosan,Methyl Orange,7.0,NaN,2.368,10.1038/s41598-024-51538-1,,
Amino Ethyl Chitosan Hydogel (CS-NH2-4),Methyl Orange,7.0,NaN,5.0,10.1038/s41598-024-51538-1,,
XNH-3 hydrogel,methylene blue,NaN,NaN,193.42,10.1007/s10971-025-07032-9,,
chitosan,humic acid,NaN,5,1.250,https://doi.org/10.21203/rs.3.rs-8098038/v1,,
chitosan,humic acid,NaN,10,2.495,https://doi.org/10.21203/rs.3.rs-8098038/v1,,
chitosan,humic acid,NaN,15,3.728,https://doi.org/10.21203/rs.3.rs-8098038/v1,,
chitosan,humic acid,NaN,20,4.973,https://doi.org/10.21203/rs.3.rs-8098038/v1,,
chitosan,humic acid,NaN,25,6.204,https://doi.org/10.21203/rs.3.rs-8098038/v1,,
chitosan,humic acid,NaN,30,7.440,https://doi.org/10.21203/rs.3.rs-8098038/v1,,
PVA-chitosan,Acid Orange 7,4.0,45,116.7,10.1016/j.aiepr.2022.12.001,,
PVA-chitosan,Acid Orange 7,2.5,300,348.3,10.1016/j.aiepr.2022.12.001,,
PVA-chitosan,Acid Orange 7,4.0,300,93.7,10.1016/j.aiepr.2022.12.001,,
PVA-chitosan,Acid Orange 7,2.5,NaN,678,10.1016/j.aiepr.2022.12.001,,
Chitosan resins,Congo red,NaN,NaN,32.11,39,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
GN-CS aerogel,Congo red,NaN,NaN,384.62,This work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
polypropylene and polyethylene,Cd(II),5.5,20,18.19,10.1016/j.chemosphere.2021.131152,,[Cd+2]
4-VP-MAAc cryogel,methylene blue,1,50,57,this work,,
4-VP-MAAc cryogel,methylene blue,2,50,57,this work,,
4-VP-MAAc cryogel,methylene blue,3,50,312.9,this work,,
4-VP-MAAc cryogel,methylene blue,7,50,472.4,this work,,
4-VP-MAAc cryogel,methylene blue,8.1,50,516.1,this work,,
4-VP-MAAc cryogel,methylene blue,NaN,50,388,this work,,
4-VP-MAAc cryogel,methylene blue,8,NaN,703.6,this work,,
4-VP-MAAc cryogel,methylene blue,6,50,703.6,this work,,
calcium alginate beads,crystal violet,6,10,5.884,Kinetic study pseudo-second order experimental Qe,,
calcium alginate beads,crystal violet,6,NaN,4.084,Langmuir isotherm Qm,,
Poly(methacrylic acid) hydrogels,basic yellow 28,NaN,NaN,157.00,[48],,
PVA/SA-2.8,Cu(II),5,NaN,68.7,Table 2,,
cellulose acetate,methylene blue,8.4,21,940.76,Table 7,,
cellulose acetate,methylene blue,NaN,NaN,39.40,Table 4 (cycle 1),,
quaternary starch,nitrate,NaN,NaN,205,77,,
PPy-MIP,17β-estradiol,7,25,82.6,Table 2,,
PPy-MIP,17β-estradiol,NaN,NaN,161.2,Table 1,,
chitosan,PO4-P,4,50,4.99,Usevičiūtė et al. 2025,,
chitosan,PO4-P,10,50,4.67,Usevičiūtė et al. 2025,,
chitosan,PO4-P,12,50,2.73,Usevičiūtė et al. 2025,,
chitosan,PO4-P,5.151,50,11.4,Usevičiūtė et al. 2025,,
chitosan,PO4-P,5.198,50,14.5,Usevičiūtė et al. 2025,,
chitosan,PO4-P,6.324,50,5.26,Usevičiūtė et al. 2025,,
chitosan,PO4-P,NaN,500,34.2,Usevičiūtė et al. 2025,,
Ca-alginate,Cd(II),6,10,9.16,10.5564/mjc.v26i54.3869,,[Cd+2]
Ca-alginate-HPMBP,Cd(II),6,10,9.30,10.5564/mjc.v26i54.3869,,[Cd+2]
Ca-alginate,Cd(II),6,25,23.23,10.5564/mjc.v26i54.3869,,[Cd+2]
Ca-alginate-HPMBP,Cd(II),6,25,23.25,10.5564/mjc.v26i54.3869,,[Cd+2]
Ca-alginate,Cd(II),6,NaN,9.66,10.5564/mjc.v26i54.3869,,[Cd+2]
Ca-alginate-HPMBP,Cd(II),6,NaN,94.34,10.5564/mjc.v26i54.3869,,[Cd+2]
Alginate–CMC,Sulfadiazine,5.74,NaN,800,Raissouni et al. 2025,,
Chitosan-Ignosulfonate,Congo red,NaN,NaN,666.67,Gu et al. [84],,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan-Ignosulfonate,Rhodamine B,NaN,NaN,126.58,Gu et al. [84],,
CS-PVA@CuO,Acid Blue 25,NaN,NaN,171.4,Lakkaboyana et al. [68],,
CS/PCL,Zn,6,NaN,159.25,This thesis,,
CS/PCL,Cu,6,NaN,4.19,This thesis,,
CS/PCL,Fe,6,NaN,10.88,This thesis,,
CS/PCL,Al,6,NaN,1.846,This thesis,,
CS/PCL,Cd,NaN,NaN,4573.44,This thesis,,
CS/PCL,Pb,NaN,NaN,1980.25,This thesis,,
CS/PCL,indigo blue,7,NaN,3.4,This thesis,,
CS/PCL,Zn,NaN,NaN,165,Martínez 2018,,
CS/PCL,Fe,NaN,NaN,10.72,Martínez 2018,,
CS/PCL,Cu,NaN,NaN,4,Martínez 2018,,
polypyrrole,metronidazole,6.17,10,0.95,10.1007/s40090-019-0190-7,,CC1=NC=C(N1CCO)[N+](=O)[O-]
polypyrrole,metronidazole,6.17,NaN,5.36,10.1007/s40090-019-0190-7,,CC1=NC=C(N1CCO)[N+](=O)[O-]
poly(DVB),Brilliant Green,7,2.5,1.59,10.1039/d5ra02950c,,
poly(DVB),Brilliant Green,7,14.3,4.63,10.1039/d5ra02950c,,
poly(DVB),Brilliant Green,7,7.5,8.44,10.1039/d5ra02950c,,
Trametes pubescens alginate-immobilized biomass,Congo Red,1.0,100,355.48,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,380.56,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,3.0,100,371.26,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,4.0,100,343.15,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,5.0,100,281.43,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,6.0,100,233.34,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,7.0,100,121.45,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,8.0,100,87.12,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,9.0,100,66.23,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,10.0,100,30.20,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,25,156.51,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,50,377.56,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,60,411.15,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,80,465.32,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,120,483.36,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,150,402.37,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,180,282.21,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,200,135.38,Ann Microbiol (2015) 65:411-421,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
graphite/alginate,La(III),5,NaN,67.6,Youssef et al. 2022,,
graphite/alginate,Ce(III),5,NaN,95.5,Youssef et al. 2022,,
graphite/alginate,La(III),NaN,NaN,83.3,Youssef et al. 2022,,
graphite/alginate,Ce(III),NaN,NaN,200,Youssef et al. 2022,,
PVA,methylene blue,6.6-6.8,20,47.7,10.1038/s41598-025-22645-4,,
PVA,methylene blue,6.6-6.8,30,15.4,10.1038/s41598-025-22645-4,,
PVA,methylene blue,6.6-6.8,40,9.15,10.1038/s41598-025-22645-4,,
