POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
water-based polyacrylic resin,Cr(VI),2,1,0.0731,10.1038/s41598-025-19662-8,deepseek-v4-flash (pdf2text),Adsorption_of_CrVI_ions_from_wastewater_using_water-based_polyacrylic_resin
water-based polyacrylic resin,Cr(VI),2,1,0.0848,10.1038/s41598-025-19662-8,deepseek-v4-flash (pdf2text),Adsorption_of_CrVI_ions_from_wastewater_using_water-based_polyacrylic_resin
water-based polyacrylic resin,Cr(VI),2,NaN,142.86,10.1038/s41598-025-19662-8,deepseek-v4-flash (pdf2text),Adsorption_of_CrVI_ions_from_wastewater_using_water-based_polyacrylic_resin
nanosilica,crystal violet,NaN,100,36.50,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,acid blue,NaN,100,6.154,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,crystal violet,NaN,NaN,90.910,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,crystal violet,NaN,NaN,84.660,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,crystal violet,NaN,NaN,82.070,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,crystal violet,NaN,NaN,81.110,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,crystal violet,NaN,NaN,72.880,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,acid blue,NaN,NaN,7.890,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,acid blue,NaN,NaN,6.824,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,acid blue,NaN,NaN,5.730,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,acid blue,NaN,NaN,4.422,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
nanosilica,acid blue,NaN,NaN,1.961,10.1007/s44371-026-00641-5,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_and_acid_blue_dyes_from_simulated_wastewater_using_nanosilica_adsorbent
RPLS,Crystal violet,NaN,NaN,344.83,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
BMRPLS,Crystal violet,NaN,NaN,454.55,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
RPLS,Crystal violet,6,100,353.2,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
BMRPLS,Crystal violet,6,100,417.9,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
RPLS,Crystal violet,NaN,50,20.6,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
RPLS,Crystal violet,NaN,250,99.1,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
BMRPLS,Crystal violet,NaN,50,27.6,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
BMRPLS,Crystal violet,NaN,250,133.8,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
RPLS,Crystal violet,NaN,100,42.6656,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
BMRPLS,Crystal violet,NaN,100,54.77,10.1038/s41598-024-52395-8,deepseek-v4-flash (pdf2text),Adsorption_of_crystal_violet_dye_from_synthetic_wastewater_by_ball-milled_royal_palm_leaf_sheath
bentonite-PUF,ibuprofen,7,40,9.27,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,ibuprofen,7,40,11.38,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,ibuprofen,7,40,12.60,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,ibuprofen,7,40,13.40,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,diclofenac sodium,7,40,9.25,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,diclofenac sodium,7,40,10.90,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,diclofenac sodium,7,40,11.70,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
bentonite-PUF,diclofenac sodium,7,40,12.55,Iraqi J Chem Pet Eng 2018,deepseek-v4-flash (pdf2text),Adsorption_of_Diclofenac_Sodium_and_Ibuprofen_by_Bentonite_Polyureaformaldehyde_Thermodynamics_and_Kinetics_Study
Activated carbons developed from pomegranate peel,DB106,NaN,NaN,42.59,Amin 2009,deepseek-v4-flash (pdf2text),Adsorption_of_direct_blue_106_dye_using_zinc_oxide_nanoparticles_prepared_via_green_synthesis_technique
Activated carbons developed from pomegranate peel,DB106,NaN,NaN,54.05,Amin 2009,deepseek-v4-flash (pdf2text),Adsorption_of_direct_blue_106_dye_using_zinc_oxide_nanoparticles_prepared_via_green_synthesis_technique
Activated carbons developed from pomegranate peel,DB106,NaN,NaN,58.14,Amin 2009,deepseek-v4-flash (pdf2text),Adsorption_of_direct_blue_106_dye_using_zinc_oxide_nanoparticles_prepared_via_green_synthesis_technique
Activated carbon from orange peel,DB106,NaN,NaN,107.53,Khaled et al. 2009,deepseek-v4-flash (pdf2text),Adsorption_of_direct_blue_106_dye_using_zinc_oxide_nanoparticles_prepared_via_green_synthesis_technique
Oxidized multi-walled carbon nanotubes,DB106,NaN,NaN,500.00,Sobhanardakani and Zandipak 2015,deepseek-v4-flash (pdf2text),Adsorption_of_direct_blue_106_dye_using_zinc_oxide_nanoparticles_prepared_via_green_synthesis_technique
ZnO,DB106,NaN,NaN,370.37,This study,deepseek-v4-flash (pdf2text),Adsorption_of_direct_blue_106_dye_using_zinc_oxide_nanoparticles_prepared_via_green_synthesis_technique
ATA bentonite,Congo Red,7,1000,74.5,Toor and Jin 2012,deepseek-v4-flash (pdf2text),Adsorption_of_dyes_using_different_types_of_clay_a_review
AA bentonite,Congo Red,7,1000,61.5,Toor and Jin 2012,deepseek-v4-flash (pdf2text),Adsorption_of_dyes_using_different_types_of_clay_a_review
TA bentonite,Congo Red,7,1000,52.6,Toor and Jin 2012,deepseek-v4-flash (pdf2text),Adsorption_of_dyes_using_different_types_of_clay_a_review
Raw bentonite,Congo Red,7,1000,20.8,Toor and Jin 2012,deepseek-v4-flash (pdf2text),Adsorption_of_dyes_using_different_types_of_clay_a_review
Ca-bentonite,Congo Red,6.92,50,23.25,Lian et al. 2009,deepseek-v4-flash (pdf2text),Adsorption_of_dyes_using_different_types_of_clay_a_review
Ca-bentonite,Congo Red,6.92,200,85.29,Lian et al. 2009,deepseek-v4-flash (pdf2text),Adsorption_of_dyes_using_different_types_of_clay_a_review
Magnetic cyclodextrin– chitosan/graphene oxide (MCCG),Methylene blue,11.0,100,84.32,Fan et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
β-cyclodextrin multi-conjugate magnetic nanoparticles and graphene oxide (MNPs/GO-βCD),Methylene blue,13.0,40,196.2,Cao et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Fe3O4/GO-freeze dried (MGO-FD),Rhodamine B,2.7,30-80,126.58,Faghihi et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Magnetic polypyrrole nanocomposite (MGO/PPy),Methylene blue,8.0,100,323.2,Nezhad et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
GO-Fe3O4@P4VP,Methylene blue,2.5,10-100,152.51,Li et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Magnetic IO-Incorporated CSGO Hydrogel (CSGOIO),Methylene blue,7.4,1.6-16,74.93,Singh et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Magnetic/graphene/chitosan nanocomposite (MGCH),2-naphthol,2.0,10-40,169.49,Rebekah et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide@CoFe2O4 (GO@CoFe2O4),Congo red,5.5,81,109.18,Tran et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide@CoFe2O4 (GO@CoFe2O4),Methyl red,5.0,92,78.81,Tran et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide@CoFe2O4 (GO@CoFe2O4),Crystal violet,7.0,81,137.95,Tran et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Fe3O4-graphene@mesoporous SiO2 (MG@m-SiO2),Methylene blue,11.0,10-50,102.22,Wu et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Ni@reduced-graphene oxide (Ni@rGO),Methylene blue,8.3,32,946.12,Calimli et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Fe3O4@C/GO,Methylene blue,12.0,30-120,116.5,Chen et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide (GO),Basic blue 41,NaN,50-200,1429,Hosseinabadi-Farahani et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide (GO),Basic red 18,NaN,50-200,1250,Hosseinabadi-Farahani et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide (GO),Basic red 46,NaN,50-200,476,Hosseinabadi-Farahani et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
N-doped GO (NGO),Congo red,2,10-100,19.49,Yokwana et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide (GO),Ethyl violet,NaN,10-50,4.585,Odiongenyi,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide (GO),Methylene blue,10.0,6.25-100,311.74,Ciğeroğlu et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Graphene oxide (GO),Basic red 46,11.0,150,360,Shoushtarian et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Cellulose nanocrystals and graphene oxide (CNC:GO),Basic blue 7,6,400,1948.02,da Silva et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Cellulose nanocrystals and graphene oxide (CNC:GO),Reactive orange 122,6,100,516.04,da Silva et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Cellulose nanocrystals and graphene oxide (CNC:GO),Methyl orange,6,100,681.82,da Silva et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
MATCHA-co-AA@GO,Malachite green,6.5,20,67.5,Niknezhad and Mansour Lakouraj,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
MATCHA-co-AA@GO,Methylene blue,6.5,20,70.3,Niknezhad and Mansour Lakouraj,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
GO/PAN,Actacid orange RL,2.0,150,67.11,Noreen et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
GO/PPy,Actacid orange RL,6.0,150,72.44,Noreen et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
GO/PSty,Actacid orange RL,3.0,150,54.99,Noreen et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Acrylamide/graphene oxide bonded sodium alginate (AM-GO-SA),Crystal violet,10,10-300,100.3,Pashaei-Fakhri et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
Barium alginate-bentonite-graphene oxide composite (3D-BA/GO) hydrogel,Methylene blue,6,200,710.8,Wang et al.,deepseek-v4-flash (pdf2text),Adsorption_of_Dyes_Using_Graphene_Oxide-Based_Nano-Adsorbent_A_Review
GO,Rhodamine B,NaN,NaN,439,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
rGO,Rhodamine B,NaN,NaN,220,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
GO-Lys,Rhodamine B,NaN,NaN,312,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
GNP,Rhodamine B,NaN,NaN,68,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
Alginate,Rhodamine B,NaN,NaN,0.6,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
Alg-GO,Rhodamine B,NaN,NaN,15,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
Alg-GO-Lys,Rhodamine B,NaN,NaN,158,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
Alg-rGO,Rhodamine B,NaN,NaN,178,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
Alg-GNP,Rhodamine B,NaN,NaN,15,Table 1,deepseek-v4-flash (pdf2text),Adsorption_of_emerging_contaminants_by_graphene_related_materials_and_their_alginate_composite_hydrogels
Peanut shell,AMX,2,40,2.83,10.55455/jmesr.2022.008,deepseek-v4-flash (pdf2text),Adsorption_of_Frequently_Used_Antibiotics_From_Contaminated_Water_Using_Peanut_Shells
Peanut shell,AMX,7,40,3.3,10.55455/jmesr.2022.008,deepseek-v4-flash (pdf2text),Adsorption_of_Frequently_Used_Antibiotics_From_Contaminated_Water_Using_Peanut_Shells
"""Magnetic MnO2@Fe3O4/poly(m-phenylenediamine) core–shell adsorbent""","""lead""",NaN,NaN,438.6,40,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Magnetic MnO2@Fe3O4/poly(m-phenylenediamine) core–shell adsorbent""","""cadmium""",NaN,NaN,121.5,40,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Bagasse-fixed column modified with pyromellitic dianhydride""","""lead""",NaN,NaN,242,43,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Unmodified bagasse-fixed column""","""lead""",NaN,NaN,60.5,43,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Multiwall carbon nanotube derivative""","""lead""",NaN,NaN,24.34,25,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Pomelo peel""","""methylene blue""",NaN,NaN,219,72,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Pomelo peel""","""chromium""",NaN,NaN,11.3,72,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Corncob activated carbon""","""chromium""",NaN,0.05,9.99,97,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Activated carbon modified with phosphoric acid and disodium EDTA salts""","""nickel""",NaN,NaN,27.9,160,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Unmodified activated carbon""","""nickel""",NaN,NaN,15.4,160,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Biomass-derived activated carbon with Schiff base structure""","""hexavalent chromium""",NaN,NaN,349.6,167,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Polyethyleneimine loaded activated carbon""","""lead""",NaN,NaN,214,173,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Unmodified activated carbon""","""lead""",NaN,NaN,32.6,173,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Polyethyleneimine modified activated carbon""","""formaldehyde""",NaN,NaN,650,174,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Unmodified activated carbon""","""formaldehyde""",NaN,NaN,190,174,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Activated carbon prepared using rice husk and reacted with it using caustic soda and alumina""","""uranium""",NaN,121,NaN,66,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""ZnO-activated carbon""","""chromium""",2,NaN,NaN,166,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Carbonized sewage sludge""","""copper""",NaN,NaN,NaN,163,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Carbonized sewage sludge""","""zinc""",NaN,NaN,NaN,163,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Carbonized sewage sludge""","""aluminium""",NaN,NaN,NaN,163,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Macroporous polystyrenic chelating resin with a thiourea functional group""","""copper""",NaN,NaN,NaN,61,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Microalgae (Chlorella and Echinococcus)""","""copper""",NaN,NaN,NaN,71,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
"""Microalgae (Chlorella and Echinococcus)""","""molybdenum""",NaN,NaN,NaN,71,deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metal_onto_biomass-derived_activated_carbon_review
bone char,Cd(II),NaN,3.0,0.57,"""Cheung et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
bone char,Cd(II),NaN,NaN,0.477,"""Choy and McKay",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
bone char,Cu(II),NaN,NaN,0.709,"""Choy and McKay",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
bone char,Zn(II),NaN,NaN,0.505,"""Choy and McKay",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
carbonized fly ash,Cu(II),6,50,0.9994,"""Mulyatun",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
carbonized fly ash,Cr(VI),6,50,0.9325,"""Mulyatun",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
wheat bran,Cd(II),NaN,NaN,0.667,"""Ogata et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
wheat bran,Pb(II),NaN,NaN,1.667,"""Ogata et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
wheat bran,Cr(VI),2,NaN,4.53,"""Kaya et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
modified wheat bran,Cr(VI),2.2,NaN,5.28,"""Kaya et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
potato peel activated carbon,Pb(II),NaN,NaN,9.3,"""Osman et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
potato peel MWCNTs,Pb(II),NaN,NaN,5.7,"""Osman et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
coffee husks,Cr(VI),NaN,NaN,44.95,"""Ahalya et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
natural coffee husks,Cr(VI),2,40,0.660,"""Alhogbi",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
nitric acid activated coffee husks,Ni(II),NaN,NaN,21.14,"""Tien",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
untreated coffee husks,Ni(II),NaN,NaN,1.97,"""Tien",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
coffee husks,Zn(II),NaN,NaN,12.97,"""Alhogbi and Al-Enazi",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
coffee husks,Ni(II),NaN,NaN,11.11,"""Alhogbi and Al-Enazi",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
chitosan filter,Cu(II),5.5,NaN,313,"""Ráheľ et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
rice husk activated carbon,Cr(VI),3,NaN,56.82,"""Zhang et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
NaOH activated fly ash,Cu(II),NaN,NaN,30.21,"""Darmayanti et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
KOH activated fly ash,Cu(II),NaN,NaN,16.89,"""Darmayanti et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
soybean hulls,Cu(II),NaN,NaN,0.39,"""Marshall et al.",deepseek-v4-flash (pdf2text),Adsorption_of_heavy_metals_onto_food_wastes_a_review
SA,Cr(VI),2,50,3.185,"""Ali J. Salim (2015) J. Al-Nahrain University Vol.18(4) pp40-48""",deepseek-v4-flash (pdf2text),Adsorption_of_Hexavalent_Chromium_Ion_from_Aqueous_Solution_by_Sodium_Alginate_and_Carboxymethyl_Cellulose_Beads_Kinetics_and_Isotherm_Studies
SCMC,Cr(VI),2,50,6.191,"""Ali J. Salim (2015) J. Al-Nahrain University Vol.18(4) pp40-48""",deepseek-v4-flash (pdf2text),Adsorption_of_Hexavalent_Chromium_Ion_from_Aqueous_Solution_by_Sodium_Alginate_and_Carboxymethyl_Cellulose_Beads_Kinetics_and_Isotherm_Studies
TB1P1,indigo carmine,4.7,NaN,125.40,10.4236/msce.2020.812004,deepseek-v4-flash (pdf2text),Adsorption_of_Indigo_Carmine_Dye_by_Composite_Activated_Carbons_Prepared_from_Plastic_Waste_PET_and_Banana_Pseudo_Stem
TB1P1h,indigo carmine,4.7,NaN,114.10,10.4236/msce.2020.812004,deepseek-v4-flash (pdf2text),Adsorption_of_Indigo_Carmine_Dye_by_Composite_Activated_Carbons_Prepared_from_Plastic_Waste_PET_and_Banana_Pseudo_Stem
TB2P1,indigo carmine,4.7,NaN,118.449,10.4236/msce.2020.812004,deepseek-v4-flash (pdf2text),Adsorption_of_Indigo_Carmine_Dye_by_Composite_Activated_Carbons_Prepared_from_Plastic_Waste_PET_and_Banana_Pseudo_Stem
